# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456496421 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/su.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456496422 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/sn.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456496423 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/my.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456492395 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/lt.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 6 53 16777236 456499295 3 ./scripts-old/ntop/ntop/html/.svn/props/arrow.gif.svn-work
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456492394 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/mil.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456492393 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/md.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456492392 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/mc.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456496424 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/net.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456496426 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/ne.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456496427 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/ni.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456496428 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/na.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456496429 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/mk.gif.svn-base
DUPTYPE_WITHIN_SAME_TREE -3549 8 53 16777236 456496430 3 ./scripts-old/ntop/ntop/html/statsicons/flags/.svn/prop-base/mq.gif.svn-base
